seed,original_mean,loso_mean,influence,absolute_influence,ordinal42_seed_flag,interpretation_label,absolute_influence_rank
20260728,-0.0032996487000755206,0.005029543431859906,0.008329192131935427,0.008329192131935427,true,POST-HOC SENSITIVITY ONLY,1
20260731,-0.0032996487000755206,-0.006237223479443326,-0.0029375747793678056,0.0029375747793678056,false,POST-HOC SENSITIVITY ONLY,2
20260732,-0.0032996487000755206,-0.0058060271952243975,-0.002506378495148877,0.002506378495148877,false,POST-HOC SENSITIVITY ONLY,3
20260724,-0.0032996487000755206,-0.0011933515837771176,0.0021062971162984032,0.0021062971162984032,false,POST-HOC SENSITIVITY ONLY,4
20260730,-0.0032996487000755206,-0.005315522360860164,-0.0020158736607846436,0.0020158736607846436,false,POST-HOC SENSITIVITY ONLY,5
20260723,-0.0032996487000755206,-0.005172850875973763,-0.0018732021758982422,0.0018732021758982422,false,POST-HOC SENSITIVITY ONLY,6
20260726,-0.0032996487000755206,-0.004673301250655658,-0.0013736525505801374,0.0013736525505801374,false,POST-HOC SENSITIVITY ONLY,7
20260729,-0.0032996487000755206,-0.0021402378473571924,0.0011594108527183283,0.0011594108527183283,false,POST-HOC SENSITIVITY ONLY,8
20260727,-0.0032996487000755206,-0.004182694432028987,-0.0008830457319534664,0.0008830457319534664,false,POST-HOC SENSITIVITY ONLY,9
20260725,-0.0032996487000755206,-0.003304821407294506,-0.000005172707218985533,0.000005172707218985533,false,POST-HOC SENSITIVITY ONLY,10
