model_size,dataset,metric_family,metric,seed,delta_head_1e-4,delta_full_1e-4,did_1e-4,delta_head_2e-4,delta_full_2e-4,did_2e-4,marginal_did,three_way,lrmod_head,lrmod_full
YOLO26m,xview_test,vessel,ap50_95,20260723,0.004642674984895873,-0.01334040666342566,0.017983081648321533,0.003057444729409692,-0.01050172615359897,0.013559170883008662,0.015771126265665097,-0.004423910765312872,-0.0015852302554861808,0.002838680509826691
YOLO26m,xview_test,vessel,ap50_95,20260724,0.0001922689241447284,-0.003733891553180657,0.0039261604773253855,-0.00046963122904405963,0.02178669151771709,-0.022256322746761148,-0.009165081134717881,-0.026182483224086534,-0.000661900153188788,0.025520583070897745
YOLO26m,xview_test,vessel,ap50_95,20260725,0.0013345172718668974,-0.010397886562121456,0.011732403833988353,0.0010852657933608234,0.004338360128465474,-0.0032530943351046504,0.004239654749441851,-0.014985498169093003,-0.000249251478506074,0.01473624669058693
YOLO26m,xview_test,vessel,ap50_95,20260726,0.003703313120651114,0.00325089274241043,0.0004524203782406838,0.009838243239505079,0.0007750189843593602,0.009063224255145719,0.004757822316693201,0.008610803876905035,0.006134930118853965,-0.00247587375805107
YOLO26m,xview_test,vessel,ap50_95,20260727,0.0014046505449874513,-0.00789331558385617,0.009297966128843621,0.003209389473197377,-0.0014383734143083027,0.00464776288750568,0.00697286450817465,-0.004650203241337941,0.0018047389282099258,0.006454942169547867
YOLO26m,xview_test,vessel,ap50_95,20260728,-1.0795557053383531e-05,-0.0004340367228592573,0.0004232411658058738,-0.07315356347954555,0.005108814407948817,-0.07826237788749436,-0.038919568360844245,-0.07868561905330024,-0.07314276792249216,0.005542851130808074
YOLO26m,xview_test,vessel,ap50_95,20260729,-0.0012191869029910818,-0.0005491153022941231,-0.0006700716006969587,-0.0018777929310893338,0.011856553443451143,-0.013734346374540476,-0.007202208987618718,-0.013064274773843518,-0.000658606028098252,0.012405668745745266
YOLO26m,xview_test,vessel,ap50_95,20260730,0.007132518111912484,-0.007968455625168597,0.01510097373708108,0.0022184544890415936,-0.012624759757944679,0.014843214246986272,0.014972093992033676,-0.00025775949009480825,-0.00491406362287089,-0.004656304132776082
YOLO26m,xview_test,vessel,ap50_95,20260731,0.005743702663471212,-0.00345151042551102,0.009195213088982232,0.002376830070511232,-0.020761694243723497,0.02313852431423473,0.01616686870160848,0.013943311225252497,-0.0033668725929599796,-0.017310183818212477
YOLO26m,xview_test,vessel,ap50_95,20260732,0.0036216253771339524,-0.01130498293376897,0.014926608310902922,0.005658493456742075,-0.013599264299522296,0.01925775775626437,0.017092183033583647,0.0043311494453614485,0.002036868079608123,-0.0022942813657533256
YOLO26m,xview_test,vessel,ap50,20260723,0.008404208580332528,-0.013940564632151375,0.022344773212483904,0.006915395687452086,-0.024100404260742225,0.03101579994819431,0.026680286580339108,0.008671026735710408,-0.0014888128928804423,-0.01015983962859085
YOLO26m,xview_test,vessel,ap50,20260724,0.007739243145258257,-0.0012581488436554933,0.00899739198891375,0.002720905323490619,0.01479156414634139,-0.012070658822850772,-0.0015366334169685109,-0.02106805081176452,-0.005018337821767638,0.016049712989996884
YOLO26m,xview_test,vessel,ap50,20260725,0.007276880041122535,-0.014915240088072435,0.02219212012919497,0.0023341505569351995,0.0009724481564104548,0.0013617024005247447,0.011776911264859857,-0.020830417728670225,-0.004942729484187336,0.01588768824448289
YOLO26m,xview_test,vessel,ap50,20260726,0.005632508060802399,0.0015581846132133037,0.0040743234475890955,0.011539669755909199,-0.008148909776132168,0.019688579532041367,0.011881451489815231,0.015614256084452272,0.0059071616951067996,-0.009707094389345472
YOLO26m,xview_test,vessel,ap50,20260727,0.008176579296396702,-0.014200622447549383,0.022377201743946085,0.006018346587726819,0.006025948134930653,-7.6015472038337695e-06,0.011184800098371125,-0.02238480329114992,-0.0021582327086698827,0.020226570582480036
YOLO26m,xview_test,vessel,ap50,20260728,0.0037132834663219927,0.01878038966664422,-0.015067106200322228,-0.14362271143173355,-0.004018185893137793,-0.13960452553859576,-0.077335815869459,-0.12453741933827353,-0.14733599489805554,-0.022798575559782014
YOLO26m,xview_test,vessel,ap50,20260729,0.004134313708125392,-0.0014143396947565168,0.005548653402881909,-0.000909391835529294,0.016564207647979057,-0.01747359948350835,-0.005962473040313221,-0.02302225288639026,-0.005043705543654686,0.017978547342735574
YOLO26m,xview_test,vessel,ap50,20260730,0.0154543859312124,-0.009043055563817237,0.024497441495029637,0.011203167907546274,-0.013245566676298115,0.02444873458384439,0.024473088039437013,-4.8706911185247836e-05,-0.004251218023666126,-0.004202511112480878
YOLO26m,xview_test,vessel,ap50,20260731,0.01290434494614956,0.0008370946998036977,0.012067250246345862,0.008596498047932444,-0.040541363867960256,0.0491378619158927,0.03060255608111928,0.03707061166954684,-0.004307846898217116,-0.041378458567763954
YOLO26m,xview_test,vessel,ap50,20260732,0.007743301966334326,-0.013730407620819007,0.021473709587153333,0.011142479698480923,-0.031071357007539158,0.04221383670602008,0.03184377314658671,0.020740127118866747,0.0033991777321465966,-0.01734094938672015
YOLO26m,xview_test,vessel,ap75,20260723,0.00041646887900012586,-0.02965682340213316,0.030073292281133285,0.003056216037427839,-0.0004630732790783798,0.003519289316506219,0.016796290798819752,-0.026554002964627066,0.0026397471584277132,0.02919375012305478
YOLO26m,xview_test,vessel,ap75,20260724,-0.0041137696050813355,-0.0066919157071679836,0.002578146102086648,-0.0003434906666237303,0.05298657882422106,-0.05333006949084479,-0.02537596169437907,-0.05590821559293144,0.003770278938457605,0.05967849453138904
YOLO26m,xview_test,vessel,ap75,20260725,-0.0024250620656739996,-0.023453539689393066,0.021028477623719066,-0.009731663061383344,-0.012079185135614845,0.0023475220742315006,0.011687999848975283,-0.018680955549487566,-0.007306600995709345,0.011374354553778221
YOLO26m,xview_test,vessel,ap75,20260726,-0.0005058390939287061,0.004046759686401363,-0.004552598780330069,0.01409555524006953,-0.016016612325335466,0.030112167565404996,0.012779784392537463,0.034664766345735065,0.014601394333998235,-0.02006337201173683
YOLO26m,xview_test,vessel,ap75,20260727,-0.0015746610532886007,-0.0015024952626413873,-7.21657906472134e-05,0.004849590490847044,-0.013183700795428549,0.018033291286275593,0.00898056274781419,0.018105457076922807,0.006424251544135645,-0.011681205532787162
YOLO26m,xview_test,vessel,ap75,20260728,-0.0059802583344845395,-0.004428799729256944,-0.0015514586052275958,-0.07630890790399235,0.04044273061227108,-0.11675163851626343,-0.05915154856074551,-0.11520017991103583,-0.07032864956950781,0.04487153034152802
YOLO26m,xview_test,vessel,ap75,20260729,-0.001294716526326456,0.00499932259483353,-0.006294039121159986,-0.0017817753587724694,0.016130143116648316,-0.017911918475420785,-0.012102978798290386,-0.011617879354260799,-0.00048705883244601345,0.011130820521814785
YOLO26m,xview_test,vessel,ap75,20260730,0.0027984027450048687,-0.013504464698413848,0.016302867443418717,0.00045777563090085294,0.0024273324227362947,-0.0019695567918354417,0.007166655325791638,-0.01827242423525416,-0.002340627114104016,0.015931797121150143
YOLO26m,xview_test,vessel,ap75,20260731,0.006421090645011396,-0.01233091335194908,0.018752003996960476,0.001886338930887299,-0.033258592264860554,0.03514493119574785,0.026948467596354164,0.016392927198787377,-0.004534751714124097,-0.020927678912911474
YOLO26m,xview_test,vessel,ap75,20260732,0.0009461345891002837,-0.007156880491562739,0.008103015080663023,0.004444344669931738,-0.0031293019504117503,0.007573646620343488,0.007838330850503256,-0.0005293684603195348,0.0034982100808314542,0.004027578541150989
YOLO26m,xview_test,aggregate,ap50_95,20260723,0.0004497695839794369,-0.0008494981365405885,0.0012992677205200254,0.0007337366134901602,-0.0024727384085629633,0.0032064750220531235,0.0022528713712865744,0.0019072073015330981,0.0002839670295107233,-0.0016232402720223749
YOLO26m,xview_test,aggregate,ap50_95,20260724,0.00034453382832053125,-0.0006128206888154353,0.0009573545171359665,-3.0564449480130484e-05,0.0031752419256659836,-0.003205806375146114,-0.0011242259290050738,-0.004163160892282081,-0.00037509827780066174,0.003788062614481419
YOLO26m,xview_test,aggregate,ap50_95,20260725,0.0008013992766959521,-0.002712476286127835,0.003513875562823787,0.0006972076343607359,0.0008554481693541782,-0.00015824053499344237,0.0016778175139151724,-0.0036721160978172296,-0.00010419164233521627,0.0035679244554820133
YOLO26m,xview_test,aggregate,ap50_95,20260726,0.0007039336128002172,-0.00065636984189818,0.0013603034546983972,0.002202781616559596,0.0006756495803500184,0.0015271320362095775,0.0014437177454539873,0.0001668285815111803,0.0014988480037593788,0.0013320194222481985
YOLO26m,xview_test,aggregate,ap50_95,20260727,0.0006708173705861076,-0.003070978785941453,0.0037417961565275604,0.000579308309906823,-0.0021244937939952913,0.0027038021039021143,0.0032227991302148373,-0.001037994052625446,-9.150906067928455e-05,0.0009464849919461615
YOLO26m,xview_test,aggregate,ap50_95,20260728,0.00019486041238558904,0.0015417042275523984,-0.0013468438151668094,-0.07957186587686586,0.00028492727006948493,-0.07985679314693535,-0.04060181848105108,-0.07850994933176854,-0.07976672628925145,-0.0012567769574829135
YOLO26m,xview_test,aggregate,ap50_95,20260729,0.00016540579730156546,9.969121284750249e-05,6.571458445406297e-05,0.0007125682029079095,-0.00011140297650386044,0.0008239711794117699,0.00044484288193291643,0.0007582565949577069,0.000547162405606344,-0.00021109418935136293
YOLO26m,xview_test,aggregate,ap50_95,20260730,0.001406936575645057,-0.0026410765974687056,0.0040480131731137625,-0.0002548536329191331,-0.0016264792756098545,0.0013716256426907214,0.002709819407902242,-0.002676387530423041,-0.00166179020856419,0.001014597321858851
YOLO26m,xview_test,aggregate,ap50_95,20260731,0.001870263276366968,-0.004279400160791619,0.006149663437158587,0.0011174144385833473,-0.0048692271916178365,0.005986641630201184,0.006068152533679885,-0.00016302180695740298,-0.0007528488377836207,-0.0005898270308262177
YOLO26m,xview_test,aggregate,ap50_95,20260732,0.0006496666736151291,-0.0031519638388432802,0.0038016305124584093,0.0005017679073452408,-0.004357836960311612,0.004859604867656853,0.004330617690057631,0.0010579743551984433,-0.0001478987662698883,-0.0012058731214683316
YOLO26m,xview_test,aggregate,ap50,20260723,0.0010520637840403801,0.0008674786058617268,0.00018458517817865339,0.0017386920537049155,-0.003290104990788134,0.00502879704449305,0.0026066911113358515,0.004844211866314396,0.0006866282696645354,-0.004157583596649861
YOLO26m,xview_test,aggregate,ap50,20260724,0.002078498947037488,0.0006420357834298618,0.0014364631636076264,0.001111514114929657,0.00011694391678052085,0.0009945701981491362,0.0012155166808783813,-0.0004418929654584902,-0.0009669848321078311,-0.0005250918666493409
YOLO26m,xview_test,aggregate,ap50,20260725,0.0025918817531584426,-0.0028839972184269147,0.005475878971585357,0.001081235194801966,0.0009765576403827358,0.00010467755441923021,0.0027902782630022938,-0.005371201417166127,-0.0015106465583564765,0.0038605548588096505
YOLO26m,xview_test,aggregate,ap50,20260726,0.0019932249510011824,-0.0011935084727662804,0.0031867334237674627,0.003466901480571438,-0.000814057290335124,0.004280958770906562,0.0037338460973370124,0.0010942253471390995,0.0014736765295702559,0.0003794511824311564
YOLO26m,xview_test,aggregate,ap50,20260727,0.002488688242031467,-0.006410581066800758,0.008899269308832225,0.0021000764928480464,-0.0033236629299571163,0.005423739422805163,0.007161504365818694,-0.0034755298860270623,-0.0003886117491834207,0.0030869181368436416
