model_size,dataset,metric_family,metric,seed,delta_head_1e-4,delta_full_1e-4,did_1e-4,delta_head_2e-4,delta_full_2e-4,did_2e-4,marginal_did,three_way,lrmod_head,lrmod_full
YOLO26s,xview_test,vessel,ap50_95,20260723,-0.00485993017991769,-0.0012036240327112646,-0.0036563061472064257,0.0005416925048805504,0.010971781445081694,-0.010430088940201143,-0.007043197543703784,-0.0067737827929947175,0.005401622684798241,0.012175405477792958
YOLO26s,xview_test,vessel,ap50_95,20260724,-0.0014351361147740133,0.0016533534816691037,-0.003088489596443117,-0.009640862844802325,-0.0013853094077061617,-0.008255553437096164,-0.00567202151676964,-0.005167063840653047,-0.008205726730028312,-0.0030386628893752654
YOLO26s,xview_test,vessel,ap50_95,20260725,0.0020783086727861055,0.012181359884668508,-0.010103051211882402,-0.003754537634386157,0.008899447958010245,-0.012653985592396402,-0.011378518402139402,-0.002550934380514,-0.0058328463071722625,-0.0032819119266582625
YOLO26s,xview_test,vessel,ap50_95,20260726,0.0007488299941391385,-0.013713967325143378,0.014462797319282517,0.0028111564034885017,-0.01679670777881835,0.019607864182306853,0.017035330750794685,0.005145066863024336,0.002062326409349363,-0.003082740453674973
YOLO26s,xview_test,vessel,ap50_95,20260727,-0.008699584369641689,0.000931886174865143,-0.009631470544506832,-0.0047299753372499614,-0.0005544873568847503,-0.004175487980365211,-0.006903479262436021,0.00545598256414162,0.003969609032391727,-0.0014863735317498933
YOLO26s,xview_test,vessel,ap50_95,20260728,-0.0022310705585620316,-0.007080999807706295,0.004849929249144264,-0.004055445172270272,-0.010302697786025883,0.006247252613755611,0.005548590931449937,0.001397323364611347,-0.0018243746137082406,-0.0032216979783195876
YOLO26s,xview_test,vessel,ap50_95,20260729,-0.0011444805363586275,-0.010237002192954786,0.009092521656596159,0.00543411853236668,-0.0007116572469886284,0.006145775779355309,0.007619148717975734,-0.00294674587724085,0.006578599068725308,0.009525344945966158
YOLO26s,xview_test,vessel,ap50_95,20260730,-0.0037693664888162753,0.002318064751769322,-0.006087431240585597,-0.0009697837971370804,-0.0093563065959191,0.00838652279878202,0.0011495457790982114,0.014473954039367617,0.002799582691679195,-0.011674371347688423
YOLO26s,xview_test,vessel,ap50_95,20260731,-0.003783905799552706,0.0035227839167793623,-0.007306689716332068,-0.005744523371816676,0.008039049486771893,-0.01378357285858857,-0.010545131287460319,-0.006476883142256501,-0.00196061757226397,0.004516265569992531
YOLO26s,xview_test,vessel,ap50_95,20260732,-0.008460320601195004,-0.009367917917375526,0.0009075973161805223,-0.006277293234400794,-0.0016507773528538633,-0.00462651588154693,-0.001859459282683204,-0.005534113197727453,0.00218302736679421,0.007717140564521663
