model_size,dataset,scope,learning_rate,learning_rate_label,condition,metric_family,metric,n_seeds,mean,sample_sd
YOLO26m,dior_public_mirror,full_network,0.0001,1e-4,duplicate,aggregate,ap50,10,0.08120094721830438,0.013412189610689474
YOLO26m,dior_public_mirror,full_network,0.0001,1e-4,duplicate,aggregate,ap50_95,10,0.029282853710602085,0.0042321866717175225
YOLO26m,dior_public_mirror,full_network,0.0001,1e-4,duplicate,aggregate,ap75,10,0.013833754192573999,0.00127467133338309
YOLO26m,dior_public_mirror,full_network,0.0001,1e-4,duplicate,vessel,ap50,10,0.08120094721830438,0.013412189610689474
YOLO26m,dior_public_mirror,full_network,0.0001,1e-4,duplicate,vessel,ap50_95,10,0.029282853710602085,0.0042321866717175225
YOLO26m,dior_public_mirror,full_network,0.0001,1e-4,duplicate,vessel,ap75,10,0.013833754192573999,0.00127467133338309
YOLO26m,dior_public_mirror,full_network,0.0001,1e-4,unity_medium150,aggregate,ap50,10,0.10895558371340722,0.01471643748335334
YOLO26m,dior_public_mirror,full_network,0.0001,1e-4,unity_medium150,aggregate,ap50_95,10,0.04094838025763037,0.005120481181641718
YOLO26m,dior_public_mirror,full_network,0.0001,1e-4,unity_medium150,aggregate,ap75,10,0.020988918924367446,0.002273881469535665
YOLO26m,dior_public_mirror,full_network,0.0001,1e-4,unity_medium150,vessel,ap50,10,0.10895558371340722,0.01471643748335334
YOLO26m,dior_public_mirror,full_network,0.0001,1e-4,unity_medium150,vessel,ap50_95,10,0.04094838025763037,0.005120481181641718
YOLO26m,dior_public_mirror,full_network,0.0001,1e-4,unity_medium150,vessel,ap75,10,0.020988918924367446,0.002273881469535665
YOLO26m,dior_public_mirror,full_network,0.0002,2e-4,duplicate,aggregate,ap50,10,0.07307869368213188,0.011465128134929801
YOLO26m,dior_public_mirror,full_network,0.0002,2e-4,duplicate,aggregate,ap50_95,10,0.027290745653411722,0.003635629336921917
YOLO26m,dior_public_mirror,full_network,0.0002,2e-4,duplicate,aggregate,ap75,10,0.013342149141690995,0.0011936586129894552
YOLO26m,dior_public_mirror,full_network,0.0002,2e-4,duplicate,vessel,ap50,10,0.07307869368213188,0.011465128134929801
YOLO26m,dior_public_mirror,full_network,0.0002,2e-4,duplicate,vessel,ap50_95,10,0.027290745653411722,0.003635629336921917
YOLO26m,dior_public_mirror,full_network,0.0002,2e-4,duplicate,vessel,ap75,10,0.013342149141690995,0.0011936586129894552
YOLO26m,dior_public_mirror,full_network,0.0002,2e-4,unity_medium150,aggregate,ap50,10,0.10182645995539537,0.011562388206585908
YOLO26m,dior_public_mirror,full_network,0.0002,2e-4,unity_medium150,aggregate,ap50_95,10,0.038389220433140046,0.004244520584884221
YOLO26m,dior_public_mirror,full_network,0.0002,2e-4,unity_medium150,aggregate,ap75,10,0.019305421467880876,0.0027631353128732437
YOLO26m,dior_public_mirror,full_network,0.0002,2e-4,unity_medium150,vessel,ap50,10,0.10182645995539537,0.011562388206585908
YOLO26m,dior_public_mirror,full_network,0.0002,2e-4,unity_medium150,vessel,ap50_95,10,0.038389220433140046,0.004244520584884221
YOLO26m,dior_public_mirror,full_network,0.0002,2e-4,unity_medium150,vessel,ap75,10,0.019305421467880876,0.0027631353128732437
YOLO26m,dior_public_mirror,head_only,0.0001,1e-4,duplicate,aggregate,ap50,10,0.11465862688205632,0.004327552405020602
YOLO26m,dior_public_mirror,head_only,0.0001,1e-4,duplicate,aggregate,ap50_95,10,0.0427200604461111,0.0016737536154631874
YOLO26m,dior_public_mirror,head_only,0.0001,1e-4,duplicate,aggregate,ap75,10,0.017952174156713383,0.0014457842311533407
YOLO26m,dior_public_mirror,head_only,0.0001,1e-4,duplicate,vessel,ap50,10,0.11465862688205632,0.004327552405020602
YOLO26m,dior_public_mirror,head_only,0.0001,1e-4,duplicate,vessel,ap50_95,10,0.0427200604461111,0.0016737536154631874
YOLO26m,dior_public_mirror,head_only,0.0001,1e-4,duplicate,vessel,ap75,10,0.017952174156713383,0.0014457842311533407
YOLO26m,dior_public_mirror,head_only,0.0001,1e-4,unity_medium150,aggregate,ap50,10,0.229584585445384,0.006906762663052084
YOLO26m,dior_public_mirror,head_only,0.0001,1e-4,unity_medium150,aggregate,ap50_95,10,0.08587837868785148,0.002498463557106815
YOLO26m,dior_public_mirror,head_only,0.0001,1e-4,unity_medium150,aggregate,ap75,10,0.037115877765883,0.001236373030926231
YOLO26m,dior_public_mirror,head_only,0.0001,1e-4,unity_medium150,vessel,ap50,10,0.229584585445384,0.006906762663052084
YOLO26m,dior_public_mirror,head_only,0.0001,1e-4,unity_medium150,vessel,ap50_95,10,0.08587837868785148,0.002498463557106815
YOLO26m,dior_public_mirror,head_only,0.0001,1e-4,unity_medium150,vessel,ap75,10,0.037115877765883,0.001236373030926231
YOLO26m,dior_public_mirror,head_only,0.0002,2e-4,duplicate,aggregate,ap50,10,0.11248475278984585,0.00643918622971423
YOLO26m,dior_public_mirror,head_only,0.0002,2e-4,duplicate,aggregate,ap50_95,10,0.04185542202981707,0.002268452497025727
YOLO26m,dior_public_mirror,head_only,0.0002,2e-4,duplicate,aggregate,ap75,10,0.017980699700770243,0.0013596535863178098
YOLO26m,dior_public_mirror,head_only,0.0002,2e-4,duplicate,vessel,ap50,10,0.11248475278984585,0.00643918622971423
YOLO26m,dior_public_mirror,head_only,0.0002,2e-4,duplicate,vessel,ap50_95,10,0.04185542202981707,0.002268452497025727
YOLO26m,dior_public_mirror,head_only,0.0002,2e-4,duplicate,vessel,ap75,10,0.017980699700770243,0.0013596535863178098
YOLO26m,dior_public_mirror,head_only,0.0002,2e-4,unity_medium150,aggregate,ap50,10,0.22558953953385855,0.045787396819274684
