dataset,metric_family,metric,scope,learning_rate_label,mean_effect,sample_sd,ci95_low,ci95_high,positive_seeds,n_seeds,t_p_two_sided,sign_p_two_sided
xview_test,vessel,ap50_95,head_only,1e-4,0.0026545288539019246,0.002729678656067738,0.0007018343762031454,0.004607223331600704,8,10,0.013241867003257472,0.109375
xview_test,vessel,ap50_95,head_only,2e-4,-0.004805686638791107,0.024231409046677616,-0.02213979244173198,0.012528419164149766,7,10,0.5461348775414031,0.34375
xview_test,vessel,ap50_95,full_network,1e-4,-0.005582270862977548,0.005426083707224433,-0.009463857315315452,-0.0017006844106396443,1,10,0.009944693005619412,0.021484375
xview_test,vessel,ap50_95,full_network,2e-4,-0.0015060379387155862,0.01302052208541249,-0.010820358331858971,0.007808282454427799,5,10,0.7229865117934205,1.0
xview_test,vessel,ap50,head_only,1e-4,0.00811790491420561,0.0036401662938333372,0.0055138868170302915,0.010721923011380927,10,10,5.9717088677377207e-05,0.001953125
xview_test,vessel,ap50,head_only,2e-4,-0.008406148970178929,0.04769731088034942,-0.042526749704666605,0.02571445176430875,8,10,0.5908991779814781,0.109375
xview_test,vessel,ap50,full_network,1e-4,-0.004732670991116022,0.010667685396403385,-0.012363873410155591,0.0028985314279235475,3,10,0.19418104705161296,0.34375
xview_test,vessel,ap50,full_network,2e-4,-0.008277161939614816,0.019128696983501343,-0.021961007428982722,0.005406683549753091,4,10,0.20438803790982502,0.75390625
xview_test,vessel,ap75,head_only,1e-4,-0.0005312209820666963,0.0035005929704545057,-0.00303539433847369,0.001972952374340297,4,10,0.6427594086662797,0.75390625
xview_test,vessel,ap75,head_only,2e-4,-0.005937601599070759,0.025437417688149357,-0.02413443401234874,0.012259230814207222,6,10,0.4792340708181931,0.75390625
xview_test,vessel,ap75,full_network,1e-4,-0.008967975005128331,0.011150564788138867,-0.01694460853179679,-0.0009913414784598722,2,10,0.031539571512103,0.109375
xview_test,vessel,ap75,full_network,2e-4,0.00338563192251472,0.026430264422441212,-0.01552144025870936,0.022292704103738802,4,10,0.6948798701672045,0.75390625
xview_test,aggregate,ap50_95,head_only,1e-4,0.0007257586407696554,0.0005381295964653682,0.00034080391763094723,0.0011107133639083637,10,10,0.002096084563659903,0.001953125
xview_test,aggregate,ap50_95,head_only,2e-4,-0.007331249923611132,0.025391371941483918,-0.025495143194021415,0.010832643346799153,7,10,0.3850252355151226,0.34375
xview_test,aggregate,ap50_95,full_network,1e-4,-0.0016333188896027195,0.0018027561503796564,-0.0029229329515578968,-0.0003437048276475423,2,10,0.01862603557403036,0.109375
xview_test,aggregate,ap50_95,full_network,2e-4,-0.0010570911661161753,0.0024980679738577536,-0.002844101342799465,0.0007299190105671143,4,10,0.21366770385810221,0.75390625
xview_test,aggregate,ap50,head_only,1e-4,0.0020412255066683095,0.0007368827301872995,0.0015140913567383068,0.0025683596565983123,10,10,1.0647352156799727e-05,0.001953125
xview_test,aggregate,ap50,head_only,2e-4,-0.014382353837187173,0.05096271162235507,-0.05083888154323033,0.022074173868855983,9,10,0.39539340028973063,0.021484375
xview_test,aggregate,ap50,full_network,1e-4,-0.0013442569529495186,0.004309577636423989,-0.004427143076982154,0.0017386291710831166,4,10,0.34971695175941303,0.75390625
xview_test,aggregate,ap50,full_network,2e-4,-0.0027375880159552224,0.003035881219778757,-0.004909326612230602,-0.0005658494196798436,2,10,0.019040511969830115,0.109375
xview_test,aggregate,ap75,head_only,1e-4,-9.187838515176683e-05,0.00111479985951749,-0.0008893581634327301,0.0007056013931291964,3,10,0.8002467248655918,0.34375
xview_test,aggregate,ap75,head_only,2e-4,-0.006740437312199125,0.021777883332586925,-0.022319396551588613,0.008838521927190365,5,10,0.35327739154727006,1.0
