dataset,metric_family,metric,learning_rate_label,mean_did,sample_sd,ci95_low,ci95_high,positive_seeds,n_seeds,t_p_two_sided,sign_p_two_sided
xview_test,vessel,ap50_95,1e-4,0.008236799716879472,0.006836881519629159,0.0033459893065095406,0.013127610127249403,9,10,0.004154495625132172,0.021484375
xview_test,vessel,ap50_95,2e-4,-0.0032996487000755206,0.0300459835949209,-0.024793250561383484,0.018193953161232443,6,10,0.7363628908549166,0.75390625
xview_test,vessel,ap50,1e-4,0.012850575905321631,0.012487180192276638,0.003917785318676446,0.021783366491966816,9,10,0.009928759969066666,0.021484375
xview_test,vessel,ap50,2e-4,-0.0001289870305641122,0.05383724141142635,-0.038641829472637806,0.038383855411509585,6,10,0.9941202423865685,0.75390625
xview_test,vessel,ap75,1e-4,0.008436754023061635,0.012415455165328538,-0.00044472757022529473,0.017318235616348564,6,10,0.06014587299405161,0.75390625
xview_test,vessel,ap75,2e-4,-0.00932323352158548,0.04530500996547423,-0.041732485275457254,0.02308601823228629,6,10,0.5314625405525688,0.75390625
xview_test,aggregate,ap50_95,1e-4,0.0023590775303723747,0.0022515775713242156,0.0007483959653969403,0.003969759095347809,9,10,0.009036862056688938,0.021484375
xview_test,aggregate,ap50_95,2e-4,-0.006274158757494956,0.025982256869252332,-0.024860745641618352,0.012312428126628442,7,10,0.46463879181702306,0.34375
xview_test,aggregate,ap50,1e-4,0.0033854824596178277,0.004813756209862091,-5.807128876619133e-05,0.006829036208001847,9,10,0.053214729444857986,0.021484375
xview_test,aggregate,ap50,2e-4,-0.01164476582123195,0.050973264348182945,-0.04810884249257289,0.024819310850108987,9,10,0.48838320397718704,0.021484375
xview_test,aggregate,ap75,1e-4,0.0027556183217002706,0.0039835002770201395,-9.400611140214206e-05,0.005605242754802684,7,10,0.05647708451015773,0.34375
xview_test,aggregate,ap75,2e-4,-0.005650846146211019,0.025143985706420152,-0.023637769964926357,0.012336077672504317,7,10,0.4952805569704354,0.34375
hrsc2016_ms,vessel,ap50_95,1e-4,0.006187768504963567,0.003200211562770023,0.003898475062968858,0.008477061946958277,9,10,0.00017613770483631741,0.021484375
hrsc2016_ms,vessel,ap50_95,2e-4,0.0034066368689100344,0.01687128244274679,-0.008662351539090504,0.015475625276910574,8,10,0.5390389801638338,0.109375
hrsc2016_ms,vessel,ap50,1e-4,0.021655980457259565,0.006153049266960105,0.017254354171361917,0.026057606743157213,10,10,1.45818331576213e-06,0.001953125
hrsc2016_ms,vessel,ap50,2e-4,0.013315130730312947,0.03351224073555023,-0.010658082114414335,0.037288343575040225,9,10,0.24058786567648446,0.021484375
hrsc2016_ms,vessel,ap75,1e-4,-0.0005448890655583627,0.004557667741254554,-0.003805248159384528,0.0027154700282678024,4,10,0.7141457034409755,0.75390625
hrsc2016_ms,vessel,ap75,2e-4,-0.0020244535611443474,0.0163376123792437,-0.013711677403708149,0.009662770281419455,5,10,0.7042862746200157,1.0
hrsc2016_ms,aggregate,ap50_95,1e-4,0.006187768504963567,0.003200211562770023,0.003898475062968858,0.008477061946958277,9,10,0.00017613770483631741,0.021484375
hrsc2016_ms,aggregate,ap50_95,2e-4,0.0034066368689100344,0.01687128244274679,-0.008662351539090504,0.015475625276910574,8,10,0.5390389801638338,0.109375
hrsc2016_ms,aggregate,ap50,1e-4,0.021655980457259565,0.006153049266960105,0.017254354171361917,0.026057606743157213,10,10,1.45818331576213e-06,0.001953125
hrsc2016_ms,aggregate,ap50,2e-4,0.013315130730312947,0.03351224073555023,-0.010658082114414335,0.037288343575040225,9,10,0.24058786567648446,0.021484375
hrsc2016_ms,aggregate,ap75,1e-4,-0.0005448890655583627,0.004557667741254554,-0.003805248159384528,0.0027154700282678024,4,10,0.7141457034409755,0.75390625
hrsc2016_ms,aggregate,ap75,2e-4,-0.0020244535611443474,0.0163376123792437,-0.013711677403708149,0.009662770281419455,5,10,0.7042862746200157,1.0
dior_public_mirror,vessel,ap50_95,1e-4,0.031492791694712086,0.0021335755806930583,0.029966523668652933,0.03301905972077124,10,10,4.760126792414662e-12,0.001953125
dior_public_mirror,vessel,ap50_95,2e-4,0.031258386954142445,0.018071742423929737,0.018330641208261268,0.044186132700023625,9,10,0.00039539358674658986,0.021484375
dior_public_mirror,vessel,ap50,1e-4,0.08717132206822484,0.005089155210003304,0.08353075974319239,0.09081188439325728,10,10,1.2527883341813294e-12,0.001953125
dior_public_mirror,vessel,ap50,2e-4,0.0843570204707492,0.049938283968350636,0.04863332416166544,0.12008071677983295,9,10,0.0004673651087048206,0.021484375
dior_public_mirror,vessel,ap75,1e-4,0.012008538877376171,0.0016654086063223315,0.010817177329580511,0.01319990042517183,10,10,2.8487320005093573e-09,0.001953125
dior_public_mirror,vessel,ap75,2e-4,0.011975545401273003,0.007077673496192191,0.00691248278756638,0.017038608014979625,9,10,0.00046196882491848974,0.021484375
dior_public_mirror,aggregate,ap50_95,1e-4,0.031492791694712086,0.0021335755806930583,0.029966523668652933,0.03301905972077124,10,10,4.760126792414662e-12,0.001953125
dior_public_mirror,aggregate,ap50_95,2e-4,0.031258386954142445,0.018071742423929737,0.018330641208261268,0.044186132700023625,9,10,0.00039539358674658986,0.021484375
dior_public_mirror,aggregate,ap50,1e-4,0.08717132206822484,0.005089155210003304,0.08353075974319239,0.09081188439325728,10,10,1.2527883341813294e-12,0.001953125
dior_public_mirror,aggregate,ap50,2e-4,0.0843570204707492,0.049938283968350636,0.04863332416166544,0.12008071677983295,9,10,0.0004673651087048206,0.021484375
dior_public_mirror,aggregate,ap75,1e-4,0.012008538877376171,0.0016654086063223315,0.010817177329580511,0.01319990042517183,10,10,2.8487320005093573e-09,0.001953125
dior_public_mirror,aggregate,ap75,2e-4,0.011975545401273003,0.007077673496192191,0.00691248278756638,0.017038608014979625,9,10,0.00046196882491848974,0.021484375
