dataset,metric_family,metric,contrast,mean,sample_sd,median,minimum,maximum,ci95_low,ci95_high,positive_seeds,n_seeds,t_p_two_sided,sign_p_two_sided
xview_test,vessel,ap50_95,marginal_did,0.002468575508401976,0.01733749773435336,0.005865343412433926,-0.038919568360844245,0.017092183033583647,-0.009933923228118452,0.014871074244922403,7,10,0.6631754836707764,0.34375
xview_test,vessel,ap50_95,three_way,-0.011536448416954993,0.026394182075688076,-0.0045370570033254065,-0.07868561905330024,0.013943311225252497,-0.030417708842245587,0.007344812008335602,3,10,0.20025209222916432,0.34375
xview_test,vessel,ap50_95,lrmod_head,-0.007460215492693031,0.0232792001496034,-0.00066025309064352,-0.07314276792249216,0.006134930118853965,-0.024113152085185153,0.00919272109979909,3,10,0.3373342459793183,0.34375
xview_test,vessel,ap50_95,lrmod_full,0.004076232924261962,0.011876053821127504,0.0041907658203173825,-0.017310183818212477,0.025520583070897745,-0.004419384192360897,0.012571850040884822,6,10,0.305963682976853,0.75390625
xview_test,vessel,ap50,marginal_did,0.006360794437378759,0.032111645556737255,0.011829181377337544,-0.077335815869459,0.03184377314658671,-0.016610492973715446,0.02933208184847296,7,10,0.5466124871477497,0.34375
xview_test,vessel,ap50,three_way,-0.012979562935885744,0.044543521890922366,-0.010439562319927737,-0.12453741933827353,0.03707061166954684,-0.04484407893681254,0.018884953065041052,4,10,0.3808486334534729,0.75390625
xview_test,vessel,ap50,lrmod_head,-0.016524053884384538,0.04611875851189044,-0.004279532460941621,-0.14733599489805554,0.0059071616951067996,-0.049515426280658734,0.01646731851188966,2,10,0.2864844741533018,0.109375
xview_test,vessel,ap50,lrmod_full,-0.0035444909484987934,0.02072167843669254,-0.006954802750913175,-0.041378458567763954,0.020226570582480036,-0.018367886721490208,0.01127890482449262,4,10,0.6016953166044211,0.75390625
xview_test,vessel,ap75,marginal_did,-0.0004432397492619221,0.025362003549525225,0.008409446799158723,-0.05915154856074551,0.026948467596354164,-0.0185861241376673,0.017699644639143457,7,10,0.957134255143005,0.34375
xview_test,vessel,ap75,three_way,-0.017759987544647114,0.04290046635741253,-0.014945151794757479,-0.11520017991103583,0.034664766345735065,-0.04844913242278433,0.012929157333490104,3,10,0.22292800058944276,0.34375
xview_test,vessel,ap75,lrmod_head,-0.005406380617004063,0.02362058437471514,0.00107634416299085,-0.07032864956950781,0.014601394333998235,-0.022303528772519315,0.011490767538511188,5,10,0.48757681482397613,1.0
xview_test,vessel,ap75,lrmod_full,0.012353606927643052,0.026669599440863535,0.011252587537796503,-0.020927678912911474,0.05967849453138904,-0.006724675211850054,0.03143188906713616,7,10,0.1770154016150711,0.34375
xview_test,aggregate,ap50_95,marginal_did,-0.0019575406135612906,0.013723179428821071,0.0019653444426008734,-0.04060181848105108,0.006068152533679885,-0.011774511789843005,0.007859430562720423,8,10,0.662602092385024,0.109375
xview_test,aggregate,ap50_95,three_way,-0.008633236287867331,0.024637206266468797,-0.0006005079297914245,-0.07850994933176854,0.0019072073015330981,-0.02625763193440952,0.008991159358674857,4,10,0.29654842151754174,0.75390625
xview_test,aggregate,ap50_95,lrmod_head,-0.008057008564380786,0.025209595732112847,-0.00012604520430255228,-0.07976672628925145,0.0014988480037593788,-0.026090866968076304,0.009976849839314732,3,10,0.33857432292463197,0.34375
xview_test,aggregate,ap50_95,lrmod_full,0.0005762277234865442,0.0019298710571373735,0.0003676954012973993,-0.0016232402720223749,0.003788062614481419,-0.0008043188648695831,0.0019567743118426716,5,10,0.36972115013326806,1.0
xview_test,aggregate,ap50,marginal_did,-0.004129641680807062,0.027389371727626444,0.003262062180169653,-0.0816727042200972,0.010566179511765028,-0.02372281789636231,0.01546353453474819,9,10,0.6448729174100204,0.021484375
xview_test,aggregate,ap50,three_way,-0.015030248280849779,0.04735167494164316,0.0003261661908403046,-0.1494985157438976,0.004844211866314396,-0.048903595959632284,0.01884309939793273,5,10,0.341715596562815,1.0
xview_test,aggregate,ap50,lrmod_head,-0.016423579343855483,0.05077725971550913,-0.0007592908533165244,-0.1609129818656435,0.0014736765295702559,-0.052747442747610965,0.019900284059899995,3,10,0.3330986927680743,0.34375
xview_test,aggregate,ap50,lrmod_full,-0.0013933310630057038,0.0044090432775542015,-0.0009758183057850256,-0.011414466121745903,0.0038605548588096505,-0.004547370620327635,0.0017607084943162279,4,10,0.34374244469553095,0.75390625
xview_test,aggregate,ap75,marginal_did,-0.0014476139122553745,0.012918953208366734,0.0017949584171521177,-0.03638868749447886,0.01073208193986129,-0.010689276307772394,0.007794048483261646,6,10,0.7312413428201241,0.75390625
xview_test,aggregate,ap75,three_way,-0.00840646446791129,0.025071481314902087,0.0008364134127740175,-0.07761131356324237,0.008040630480500549,-0.026341521769440976,0.009528592833618397,6,10,0.31662768178571843,0.75390625
xview_test,aggregate,ap75,lrmod_head,-0.006648558927047359,0.021453082823708548,0.00019348404187699564,-0.06751429313349809,0.003528146809052002,-0.021995169879347916,0.008698052025253197,5,10,0.3526810136363014,1.0
xview_test,aggregate,ap75,lrmod_full,0.0017579055408639313,0.005741757545060017,-0.00013919383480498482,-0.004754182097388843,0.01009702042974428,-0.0023495003714039215,0.0058653114531317845,5,10,0.358256443501125,1.0
hrsc2016_ms,vessel,ap50_95,marginal_did,0.004797202686936801,0.008929046370939634,0.006965282529957477,-0.01788897822013851,0.011393805425551115,-0.0015902522982471669,0.01118465767212077,8,10,0.12354849214637076,0.109375
hrsc2016_ms,vessel,ap50_95,three_way,-0.002781131636053533,0.016457568904345653,0.0022206327876030663,-0.04868366136745726,0.0070150454274865714,-0.01455416720726526,0.008991903935158196,6,10,0.6060207236015459,0.75390625
hrsc2016_ms,vessel,ap50_95,lrmod_head,-0.005382008352581996,0.012760684081232319,-0.0011359929494925841,-0.04143286990869699,0.0010822417902453252,-0.014510451835001461,0.003746435129837469,1,10,0.21505688638970008,0.021484375
hrsc2016_ms,vessel,ap50_95,lrmod_full,-0.0026008767165284635,0.004829060354553394,-0.0032725173711766337,-0.009149246758102386,0.007250791458760272,-0.00605537839050738,0.0008536249574504534,3,10,0.12273838468762006,0.34375
hrsc2016_ms,vessel,ap50,marginal_did,0.017485555593786256,0.016487793611664674,0.021477971970619694,-0.02434435182876049,0.030980829294702,0.0056908985694629245,0.029280212618109588,9,10,0.008474322931339096,0.021484375
hrsc2016_ms,vessel,ap50,three_way,-0.00834084972694662,0.035135042850049564,0.0008476229198248197,-0.10696061376458765,0.012560062523727322,-0.0334749452713048,0.01679324581741156,6,10,0.47199999889972705,0.75390625
hrsc2016_ms,vessel,ap50,lrmod_head,-0.011762035232686225,0.025737528064239668,-0.0035657524940525265,-0.08432816154212164,0.0008665074041789289,-0.030173553676053864,0.0066494832106814145,2,10,0.18231540257291393,0.109375
hrsc2016_ms,vessel,ap50,lrmod_full,-0.0034211855057396045,0.011222898703397672,-0.004385481346061204,-0.02205059799533937,0.022632452222466015,-0.011449563598224348,0.004607192586745138,2,10,0.3602371602679996,0.109375
hrsc2016_ms,vessel,ap75,marginal_did,-0.001284671313351355,0.008541127578756596,-0.0010440896548755685,-0.0205756580178601,0.008004266487014647,-0.007394625911591388,0.0048252832848886765,4,10,0.645664523153858,0.75390625
hrsc2016_ms,vessel,ap75,three_way,-0.0014795644955859846,0.016839726414695486,-0.0014474740747260281,-0.04247241209589081,0.016061383137391458,-0.01352597908099502,0.010566850089823051,5,10,0.7874103101367466,1.0
hrsc2016_ms,vessel,ap75,lrmod_head,-0.0039027419591735777,0.011598261361470344,9.19719750828718e-05,-0.036323540796943554,0.0030282448758935654,-0.012199638321354112,0.004394154403006956,5,10,0.3150044437706623,1.0
hrsc2016_ms,vessel,ap75,lrmod_full,-0.002423177463587593,0.0084345229692694,0.0006118705568448624,-0.013155266597267762,0.008185672072106104,-0.008456871718222654,0.0036105167910474682,5,10,0.38729494743318066,1.0
hrsc2016_ms,aggregate,ap50_95,marginal_did,0.004797202686936801,0.008929046370939634,0.006965282529957477,-0.01788897822013851,0.011393805425551115,-0.0015902522982471669,0.01118465767212077,8,10,0.12354849214637076,0.109375
hrsc2016_ms,aggregate,ap50_95,three_way,-0.002781131636053533,0.016457568904345653,0.0022206327876030663,-0.04868366136745726,0.0070150454274865714,-0.01455416720726526,0.008991903935158196,6,10,0.6060207236015459,0.75390625
hrsc2016_ms,aggregate,ap50_95,lrmod_head,-0.005382008352581996,0.012760684081232319,-0.0011359929494925841,-0.04143286990869699,0.0010822417902453252,-0.014510451835001461,0.003746435129837469,1,10,0.21505688638970008,0.021484375
hrsc2016_ms,aggregate,ap50_95,lrmod_full,-0.0026008767165284635,0.004829060354553394,-0.0032725173711766337,-0.009149246758102386,0.007250791458760272,-0.00605537839050738,0.0008536249574504534,3,10,0.12273838468762006,0.34375
hrsc2016_ms,aggregate,ap50,marginal_did,0.017485555593786256,0.016487793611664674,0.021477971970619694,-0.02434435182876049,0.030980829294702,0.0056908985694629245,0.029280212618109588,9,10,0.008474322931339096,0.021484375
hrsc2016_ms,aggregate,ap50,three_way,-0.00834084972694662,0.035135042850049564,0.0008476229198248197,-0.10696061376458765,0.012560062523727322,-0.0334749452713048,0.01679324581741156,6,10,0.47199999889972705,0.75390625
hrsc2016_ms,aggregate,ap50,lrmod_head,-0.011762035232686225,0.025737528064239668,-0.0035657524940525265,-0.08432816154212164,0.0008665074041789289,-0.030173553676053864,0.0066494832106814145,2,10,0.18231540257291393,0.109375
hrsc2016_ms,aggregate,ap50,lrmod_full,-0.0034211855057396045,0.011222898703397672,-0.004385481346061204,-0.02205059799533937,0.022632452222466015,-0.011449563598224348,0.004607192586745138,2,10,0.3602371602679996,0.109375
hrsc2016_ms,aggregate,ap75,marginal_did,-0.001284671313351355,0.008541127578756596,-0.0010440896548755685,-0.0205756580178601,0.008004266487014647,-0.007394625911591388,0.0048252832848886765,4,10,0.645664523153858,0.75390625
hrsc2016_ms,aggregate,ap75,three_way,-0.0014795644955859846,0.016839726414695486,-0.0014474740747260281,-0.04247241209589081,0.016061383137391458,-0.01352597908099502,0.010566850089823051,5,10,0.7874103101367466,1.0
hrsc2016_ms,aggregate,ap75,lrmod_head,-0.0039027419591735777,0.011598261361470344,9.19719750828718e-05,-0.036323540796943554,0.0030282448758935654,-0.012199638321354112,0.004394154403006956,5,10,0.3150044437706623,1.0
hrsc2016_ms,aggregate,ap75,lrmod_full,-0.002423177463587593,0.0084345229692694,0.0006118705568448624,-0.013155266597267762,0.008185672072106104,-0.008456871718222654,0.0036105167910474682,5,10,0.38729494743318066,1.0
dior_public_mirror,vessel,ap50_95,marginal_did,0.031375589324427265,0.009777165596454269,0.0334389472693043,0.004562058899721298,0.039020458996458035,0.02438142639418491,0.03836975225466962,10,10,3.1660353989982852e-06,0.001953125
dior_public_mirror,vessel,ap50_95,three_way,-0.00023440474056964748,0.016730456347297504,0.0037746263769786997,-0.0462507098670963,0.01304556518749548,-0.01220265222864966,0.011733842747510364,8,10,0.9656282568892964,0.109375
dior_public_mirror,vessel,ap50_95,lrmod_head,-0.0008014565078696079,0.017003960967179342,0.0041487399250834875,-0.04903140403229078,0.007254455827452384,-0.012965357414596973,0.011362444398857757,9,10,0.8848011316685528,0.021484375
dior_public_mirror,vessel,ap50_95,lrmod_full,-0.0005670517672999604,0.003714038902874557,-0.0009098155403644125,-0.007319335414159536,0.00524098678575536,-0.0032239151455149854,0.0020898116109150646,5,10,0.6407576199881172,1.0
