model_size,dataset,scope,learning_rate,learning_rate_label,condition,metric_family,metric,n_seeds,mean,sample_sd
YOLO26n,dior_public_mirror,full_network,0.0001,1e-4,duplicate,aggregate,ap50,10,0.07137562713555898,0.005169806104216004
YOLO26n,dior_public_mirror,full_network,0.0001,1e-4,duplicate,aggregate,ap50_95,10,0.027260547275573282,0.0020871775313591823
YOLO26n,dior_public_mirror,full_network,0.0001,1e-4,duplicate,aggregate,ap75,10,0.014535003572524111,0.0014229881074683906
YOLO26n,dior_public_mirror,full_network,0.0001,1e-4,duplicate,vessel,ap50,10,0.07137562713555898,0.005169806104216004
YOLO26n,dior_public_mirror,full_network,0.0001,1e-4,duplicate,vessel,ap50_95,10,0.027260547275573282,0.0020871775313591823
YOLO26n,dior_public_mirror,full_network,0.0001,1e-4,duplicate,vessel,ap75,10,0.014535003572524111,0.0014229881074683906
YOLO26n,dior_public_mirror,full_network,0.0001,1e-4,unity_medium150,aggregate,ap50,10,0.0718233431999707,0.004614715635351373
YOLO26n,dior_public_mirror,full_network,0.0001,1e-4,unity_medium150,aggregate,ap50_95,10,0.028564694624283685,0.001637165712700259
YOLO26n,dior_public_mirror,full_network,0.0001,1e-4,unity_medium150,aggregate,ap75,10,0.015837245607108936,0.0011896096625231833
YOLO26n,dior_public_mirror,full_network,0.0001,1e-4,unity_medium150,vessel,ap50,10,0.0718233431999707,0.004614715635351373
YOLO26n,dior_public_mirror,full_network,0.0001,1e-4,unity_medium150,vessel,ap50_95,10,0.028564694624283685,0.001637165712700259
YOLO26n,dior_public_mirror,full_network,0.0001,1e-4,unity_medium150,vessel,ap75,10,0.015837245607108936,0.0011896096625231833
YOLO26n,dior_public_mirror,full_network,0.0002,2e-4,duplicate,aggregate,ap50,10,0.07524105160883356,0.006048685213320296
YOLO26n,dior_public_mirror,full_network,0.0002,2e-4,duplicate,aggregate,ap50_95,10,0.02921096479558698,0.0024010394521547804
YOLO26n,dior_public_mirror,full_network,0.0002,2e-4,duplicate,aggregate,ap75,10,0.01547556887271111,0.001442491457212825
YOLO26n,dior_public_mirror,full_network,0.0002,2e-4,duplicate,vessel,ap50,10,0.07524105160883356,0.006048685213320296
YOLO26n,dior_public_mirror,full_network,0.0002,2e-4,duplicate,vessel,ap50_95,10,0.02921096479558698,0.0024010394521547804
YOLO26n,dior_public_mirror,full_network,0.0002,2e-4,duplicate,vessel,ap75,10,0.01547556887271111,0.001442491457212825
YOLO26n,dior_public_mirror,full_network,0.0002,2e-4,unity_medium150,aggregate,ap50,10,0.07728256185938803,0.008434550250726895
YOLO26n,dior_public_mirror,full_network,0.0002,2e-4,unity_medium150,aggregate,ap50_95,10,0.030915761759972626,0.0032772007377655297
YOLO26n,dior_public_mirror,full_network,0.0002,2e-4,unity_medium150,aggregate,ap75,10,0.01724279134177598,0.002227222238829059
YOLO26n,dior_public_mirror,full_network,0.0002,2e-4,unity_medium150,vessel,ap50,10,0.07728256185938803,0.008434550250726895
YOLO26n,dior_public_mirror,full_network,0.0002,2e-4,unity_medium150,vessel,ap50_95,10,0.030915761759972626,0.0032772007377655297
YOLO26n,dior_public_mirror,full_network,0.0002,2e-4,unity_medium150,vessel,ap75,10,0.01724279134177598,0.002227222238829059
YOLO26n,dior_public_mirror,head_only,0.0001,1e-4,duplicate,aggregate,ap50,10,0.04907145544389094,0.0019780680579591214
YOLO26n,dior_public_mirror,head_only,0.0001,1e-4,duplicate,aggregate,ap50_95,10,0.020323824619748295,0.0008092750725935728
YOLO26n,dior_public_mirror,head_only,0.0001,1e-4,duplicate,aggregate,ap75,10,0.013067764615070091,0.000489781413402042
YOLO26n,dior_public_mirror,head_only,0.0001,1e-4,duplicate,vessel,ap50,10,0.04907145544389094,0.0019780680579591214
YOLO26n,dior_public_mirror,head_only,0.0001,1e-4,duplicate,vessel,ap50_95,10,0.020323824619748295,0.0008092750725935728
YOLO26n,dior_public_mirror,head_only,0.0001,1e-4,duplicate,vessel,ap75,10,0.013067764615070091,0.000489781413402042
YOLO26n,dior_public_mirror,head_only,0.0001,1e-4,unity_medium150,aggregate,ap50,10,0.0619135623012631,0.002294325086477496
YOLO26n,dior_public_mirror,head_only,0.0001,1e-4,unity_medium150,aggregate,ap50_95,10,0.025587468722937837,0.0008509431544337532
YOLO26n,dior_public_mirror,head_only,0.0001,1e-4,unity_medium150,aggregate,ap75,10,0.016188047063544878,0.0005961337248892713
YOLO26n,dior_public_mirror,head_only,0.0001,1e-4,unity_medium150,vessel,ap50,10,0.0619135623012631,0.002294325086477496
