domain,family,metric,seed,head_minus_full_did
xview_validation,vessel,ap50_95,20260723,0.009054467857769463
xview_validation,vessel,ap50_95,20260724,0.006348323617792723
xview_validation,vessel,ap50_95,20260725,0.008219512731938022
xview_validation,vessel,ap50_95,20260726,0.00763527056925653
xview_validation,vessel,ap50_95,20260727,0.0027952709851075674
xview_validation,vessel,ap50_95,20260728,0.011436855418429315
xview_validation,vessel,ap50_95,20260729,0.008318776292526767
xview_validation,vessel,ap50_95,20260730,0.0028430021718425097
xview_validation,vessel,ap50_95,20260731,0.010943437807431053
xview_validation,vessel,ap50_95,20260732,0.017722678778413326
xview_validation,vessel,ap50,20260723,0.03076227116277469
xview_validation,vessel,ap50,20260724,0.02143539299626966
xview_validation,vessel,ap50,20260725,0.017446296180791243
xview_validation,vessel,ap50,20260726,0.023729611047231383
xview_validation,vessel,ap50,20260727,0.015299396372489699
xview_validation,vessel,ap50,20260728,0.020870844662496807
xview_validation,vessel,ap50,20260729,0.014060565653771867
xview_validation,vessel,ap50,20260730,0.013390637033123098
xview_validation,vessel,ap50,20260731,0.023668672675561914
xview_validation,vessel,ap50,20260732,0.045001983720684285
xview_validation,vessel,ap75,20260723,-0.007388623640853881
xview_validation,vessel,ap75,20260724,0.0008105058738713949
xview_validation,vessel,ap75,20260725,8.226229161965859e-05
xview_validation,vessel,ap75,20260726,-0.00930679622978249
xview_validation,vessel,ap75,20260727,-0.009599098049082148
xview_validation,vessel,ap75,20260728,0.008409678089783788
xview_validation,vessel,ap75,20260729,1.1854816133242962e-05
xview_validation,vessel,ap75,20260730,-0.005111774424412491
xview_validation,vessel,ap75,20260731,-0.00010125897868223238
xview_validation,vessel,ap75,20260732,0.002597805694892784
xview_validation,aggregate,ap50_95,20260723,0.0021102104027043017
xview_validation,aggregate,ap50_95,20260724,0.0017356855031228358
xview_validation,aggregate,ap50_95,20260725,0.0002191162693931381
xview_validation,aggregate,ap50_95,20260726,0.00042684721706201523
xview_validation,aggregate,ap50_95,20260727,0.0012416890458116225
xview_validation,aggregate,ap50_95,20260728,0.0023453385029658658
xview_validation,aggregate,ap50_95,20260729,-0.0013344319652207337
xview_validation,aggregate,ap50_95,20260730,0.00792585603741812
xview_validation,aggregate,ap50_95,20260731,-0.0007016333736566405
xview_validation,aggregate,ap50_95,20260732,0.004677431808109742
xview_validation,aggregate,ap50,20260723,0.009632652534949382
xview_validation,aggregate,ap50,20260724,0.00523155114259205
xview_validation,aggregate,ap50,20260725,0.0009515541225350588
xview_validation,aggregate,ap50,20260726,0.0016098153825357953
xview_validation,aggregate,ap50,20260727,0.0039051891949655193
xview_validation,aggregate,ap50,20260728,0.003942218532468511
xview_validation,aggregate,ap50,20260729,-0.0031101763047411413
xview_validation,aggregate,ap50,20260730,0.021443021152578512
xview_validation,aggregate,ap50,20260731,-0.0015991645512334896
xview_validation,aggregate,ap50,20260732,0.012022680689106724
xview_validation,aggregate,ap75,20260723,-0.00585796210669251
xview_validation,aggregate,ap75,20260724,0.0009702442558857799
xview_validation,aggregate,ap75,20260725,-0.0006679411605593627
xview_validation,aggregate,ap75,20260726,-0.0012832849651189804
xview_validation,aggregate,ap75,20260727,-0.0012039867073337512
xview_validation,aggregate,ap75,20260728,0.0035748427838172836
xview_validation,aggregate,ap75,20260729,-0.0013578645552392299
xview_validation,aggregate,ap75,20260730,0.0009213664881680961
xview_validation,aggregate,ap75,20260731,-0.004294650196118535
xview_validation,aggregate,ap75,20260732,-0.0002206279323392346
xview_test,vessel,ap50_95,20260723,0.012291726423209783
xview_test,vessel,ap50_95,20260724,0.02209784789256017
xview_test,vessel,ap50_95,20260725,0.010621134184161475
xview_test,vessel,ap50_95,20260726,0.017622450048236073
xview_test,vessel,ap50_95,20260727,0.025797293332306417
xview_test,vessel,ap50_95,20260728,0.020168040225892338
xview_test,vessel,ap50_95,20260729,0.007083293079714309
xview_test,vessel,ap50_95,20260730,0.013824160183099989
xview_test,vessel,ap50_95,20260731,0.023686405477534346
xview_test,vessel,ap50_95,20260732,0.02089665350915664
xview_test,vessel,ap50,20260723,0.023063227748169768
xview_test,vessel,ap50,20260724,0.043005373740252956
xview_test,vessel,ap50,20260725,0.024342302479864908
xview_test,vessel,ap50,20260726,0.03207212584144861
xview_test,vessel,ap50,20260727,0.05287678674205831
xview_test,vessel,ap50,20260728,0.05088801885920713
xview_test,vessel,ap50,20260729,0.02982786872232393
xview_test,vessel,ap50,20260730,0.033382617551216354
xview_test,vessel,ap50,20260731,0.06303927555373916
xview_test,vessel,ap50,20260732,0.05440075043246809
xview_test,vessel,ap75,20260723,0.008173231378762531
xview_test,vessel,ap75,20260724,0.015849055812375577
xview_test,vessel,ap75,20260725,0.007010672828078941
xview_test,vessel,ap75,20260726,0.01737527518743886
xview_test,vessel,ap75,20260727,0.0186111052491294
xview_test,vessel,ap75,20260728,0.013229208741428002
xview_test,vessel,ap75,20260729,-0.006219773915976758
xview_test,vessel,ap75,20260730,0.009656862831438032
