scope,condition,seed,status,epochs,images_per_epoch,nominal_image_exposures,batch_size,nominal_minibatches,exact_optimizer_steps,results_csv_final_time_seconds,time_caveat
head_only,duplicate,20260723,preexisting_complete,20,3000,60000,16,3760,not_logged,865.076,may reset at resume; not total wall time
head_only,duplicate,20260724,preexisting_complete,20,3000,60000,16,3760,not_logged,924.429,may reset at resume; not total wall time
head_only,duplicate,20260725,preexisting_complete,20,3000,60000,16,3760,not_logged,975.575,may reset at resume; not total wall time
head_only,duplicate,20260726,preexisting_complete,20,3000,60000,16,3760,not_logged,837.144,may reset at resume; not total wall time
head_only,duplicate,20260727,preexisting_complete,20,3000,60000,16,3760,not_logged,460.709,may reset at resume; not total wall time
head_only,duplicate,20260728,preexisting_complete,20,3000,60000,16,3760,not_logged,407.912,may reset at resume; not total wall time
head_only,duplicate,20260729,preexisting_complete,20,3000,60000,16,3760,not_logged,829.766,may reset at resume; not total wall time
head_only,duplicate,20260730,preexisting_complete,20,3000,60000,16,3760,not_logged,987.831,may reset at resume; not total wall time
head_only,duplicate,20260731,preexisting_complete,20,3000,60000,16,3760,not_logged,826.81,may reset at resume; not total wall time
head_only,duplicate,20260732,preexisting_complete,20,3000,60000,16,3760,not_logged,834.042,may reset at resume; not total wall time
head_only,unity_medium150,20260723,preexisting_complete,20,3000,60000,16,3760,not_logged,898.983,may reset at resume; not total wall time
head_only,unity_medium150,20260724,preexisting_complete,20,3000,60000,16,3760,not_logged,881.109,may reset at resume; not total wall time
head_only,unity_medium150,20260725,preexisting_complete,20,3000,60000,16,3760,not_logged,1034.3,may reset at resume; not total wall time
head_only,unity_medium150,20260726,preexisting_complete,20,3000,60000,16,3760,not_logged,821.655,may reset at resume; not total wall time
head_only,unity_medium150,20260727,preexisting_complete,20,3000,60000,16,3760,not_logged,975.622,may reset at resume; not total wall time
head_only,unity_medium150,20260728,preexisting_complete,20,3000,60000,16,3760,not_logged,829.933,may reset at resume; not total wall time
head_only,unity_medium150,20260729,preexisting_complete,20,3000,60000,16,3760,not_logged,882.185,may reset at resume; not total wall time
head_only,unity_medium150,20260730,preexisting_complete,20,3000,60000,16,3760,not_logged,467.408,may reset at resume; not total wall time
head_only,unity_medium150,20260731,preexisting_complete,20,3000,60000,16,3760,not_logged,841.455,may reset at resume; not total wall time
head_only,unity_medium150,20260732,preexisting_complete,20,3000,60000,16,3760,not_logged,830.135,may reset at resume; not total wall time
full_network,duplicate,20260723,reused_exact,20,3000,60000,16,3760,not_logged,1061.63,may reset at resume; not total wall time
full_network,duplicate,20260724,reused_exact,20,3000,60000,16,3760,not_logged,1000.49,may reset at resume; not total wall time
full_network,duplicate,20260725,reused_exact,20,3000,60000,16,3760,not_logged,985.324,may reset at resume; not total wall time
full_network,duplicate,20260726,reused_exact,20,3000,60000,16,3760,not_logged,964.44,may reset at resume; not total wall time
full_network,duplicate,20260727,reused_exact,20,3000,60000,16,3760,not_logged,1249.62,may reset at resume; not total wall time
full_network,duplicate,20260728,preexisting_complete,20,3000,60000,16,3760,not_logged,67.5217,may reset at resume; not total wall time
full_network,duplicate,20260729,preexisting_complete,20,3000,60000,16,3760,not_logged,1165.1,may reset at resume; not total wall time
full_network,duplicate,20260730,preexisting_complete,20,3000,60000,16,3760,not_logged,1318.74,may reset at resume; not total wall time
full_network,duplicate,20260731,preexisting_complete,20,3000,60000,16,3760,not_logged,1156.74,may reset at resume; not total wall time
full_network,duplicate,20260732,preexisting_complete,20,3000,60000,16,3760,not_logged,1015.34,may reset at resume; not total wall time
full_network,unity_medium150,20260723,reused_exact,20,3000,60000,16,3760,not_logged,1048.18,may reset at resume; not total wall time
full_network,unity_medium150,20260724,reused_exact,20,3000,60000,16,3760,not_logged,968.658,may reset at resume; not total wall time
full_network,unity_medium150,20260725,reused_exact,20,3000,60000,16,3760,not_logged,980.325,may reset at resume; not total wall time
full_network,unity_medium150,20260726,reused_exact,20,3000,60000,16,3760,not_logged,970.25,may reset at resume; not total wall time
full_network,unity_medium150,20260727,reused_exact,20,3000,60000,16,3760,not_logged,1647.97,may reset at resume; not total wall time
full_network,unity_medium150,20260728,preexisting_complete,20,3000,60000,16,3760,not_logged,192.647,may reset at resume; not total wall time
full_network,unity_medium150,20260729,preexisting_complete,20,3000,60000,16,3760,not_logged,747.718,may reset at resume; not total wall time
full_network,unity_medium150,20260730,preexisting_complete,20,3000,60000,16,3760,not_logged,589.958,may reset at resume; not total wall time
full_network,unity_medium150,20260731,preexisting_complete,20,3000,60000,16,3760,not_logged,705.942,may reset at resume; not total wall time
full_network,unity_medium150,20260732,complete,20,3000,60000,16,3760,not_logged,751.412,may reset at resume; not total wall time
