arm,metric,mean,sample_sd,q1,median,q3,native_q1,native_median,native_q3,signed_median_difference,standardized_wasserstein,median_inside_native_iqr,iqr_overlap,pass
High,absolute_weber_contrast,0.5008377182641197,0.802298978873351,0.04446125458082052,0.12851518141791435,0.5073341871319206,0.1120218516406171,0.5555555855786356,1.454545595232121,-0.42704040416072125,0.48276404198469014,True,True,True
High,local_cnr,1.8138157503774643,1.9312193448436379,0.6744908340344989,1.01173367881894,1.74885782130095,0.4245677555438452,1.0117361802217282,4.215567041694588,-2.5014027882352963e-06,0.30498714537377286,True,True,True
High,tenengrad_ratio,2.303861291714955,0.7705247749160961,1.9222331664872478,2.1035978510301616,2.6250013193989536,1.6385055780410767,2.249064564704895,2.7893378734588623,-0.1454667136747334,0.31358861149137746,True,True,True
High,laplacian_variance_ratio,6.547568074862162,4.380962160910873,3.6211293935775757,5.020320177078247,6.764488101005554,1.862029492855072,3.0796167850494385,5.221722602844238,1.9407033920288086,0.31953940435781236,True,True,True
High,lab_delta_e76,20.7410875082016,22.93109426962578,5.649022817611694,11.291394233703613,25.070945739746094,3.7416574954986572,11.651160717010498,27.0,-0.35976648330688477,0.15259235200036453,True,True,True
Low,absolute_weber_contrast,0.5000486346530981,0.7795998243402009,0.056642023201968386,0.14632548139038526,0.5269016971422229,0.1120218516406171,0.5555555855786356,1.454545595232121,-0.40923010418825034,0.48345114271881523,True,True,True
Low,local_cnr,1.8156773777832185,1.8182089917265938,0.6744907594765952,1.0117363357061802,1.939160523427308,0.4245677555438452,1.0117361802217282,4.215567041694588,1.5548445198021454e-07,0.3196640580638011,True,True,True
Low,tenengrad_ratio,2.1996302657230484,0.8415678529266042,1.641730525273692,1.9494181470229432,2.797372148141849,1.6385055780410767,2.249064564704895,2.7893378734588623,-0.29964641768195177,0.29795282722749095,True,True,True
Low,laplacian_variance_ratio,6.390604448318482,4.313891921069204,3.7345776557922363,5.0681312084198,6.4986268281936646,1.862029492855072,3.0796167850494385,5.221722602844238,1.9885144233703613,0.3073339797273947,True,True,True
Low,lab_delta_e76,20.6256809870402,22.605261628631936,6.162853121757507,10.970544815063477,24.03994655609131,3.7416574954986572,11.651160717010498,27.0,-0.6806159019470215,0.16077439335871932,True,True,True
High-vs-Low paired,absolute_weber_contrast,,,,,,,,,,,,,True
High-vs-Low paired,local_cnr,,,,,,,,,,,,,True
High-vs-Low paired,tenengrad_ratio,,,,,,,,,,,,,True
High-vs-Low paired,laplacian_variance_ratio,,,,,,,,,,,,,True
High-vs-Low paired,lab_delta_e76,,,,,,,,,,,,,True
