frame_index,historical_host_id,raw_candidate_count,valid_candidate_count,retained_candidate_count,invalid_candidate_count,duplicate_or_prior_final_image_count,raw_unique_uid_count,raw_unique_rng_seed_count,raw_unique_final_image_count,retained_unique_final_image_count,candidate_count_gate,manifest_raw_sha256,manifest_retained_sha256,identity_manifest_sha256,completed_at_utc
1,462,2080,2080,2048,0,0,2080,2080,2080,2048,PASS,55df2eaac3ab356546b96d965d9d76165fc43becdd2b101711cdbb24d21d7223,770565d0f3931797ae1f09a719ac676363f23130e07724a264689430208dbf6e,568b704541399308bbdaaf79d37f052da934c5323c562d0815e24a71f86ee73a,2026-08-15T16:08:06.327782+00:00
2,463,2080,2080,2048,0,0,2080,2080,2080,2048,PASS,bd3cf8980030ea7132c2eed1c606e951f1f636a8de7a8e6ce6202addefd798c1,d2f27b8084b3a5d6004b0c5212ec746419350a42c4e9c1448007b3137a38f82e,a8a028fd8943b1b6a74bc408695c2686d3b655546b4b8dad528fadc5d197f552,2026-08-15T16:10:06.456869+00:00
3,464,2080,2080,2048,0,0,2080,2080,2080,2048,PASS,b1afe37d7671964d461f6fed89e7eaf84f7e024a7996da6fb11cebed5b619349,6ca0b9d6c25d50aeaab27f00a45bde5fae3d32720e0562100421c370a8467ea7,a66b9100290bb683f05f130546e9761318223936fe7fd4c4a87724db885fea29,2026-08-15T16:11:54.457300+00:00
4,466,2080,2080,2048,0,1,2080,2080,2079,2048,PASS,b8307daeda1459a3f40c5bbf744f678b89bfa933f85a4265816149825e3eb611,a3c9f6261b193e4e04d4ac1a7c8194b1ddf6345a46f5b76597a22f9f30a4832e,2bab25e7bb8282feff6890483ad3699ca545dd58520b3997d3e4a393fe398c6e,2026-08-15T16:13:42.904805+00:00
5,467,2080,2080,2048,0,0,2080,2080,2080,2048,PASS,8e9fcc314ce1ccedcbddb9356c0f128c7d8d58b61c9eea06fedcb4b8c91e8f52,edbaa008193c414b42e3df8cdaff8da9b272f7633a96a277096076d0a302fca5,7c52f7ab42345b66513ddbb7412422b94c4dc1102444c25ecee3cb598eb5d6fb,2026-08-15T16:15:24.126963+00:00
6,468,2080,2080,2048,0,1,2080,2080,2079,2048,PASS,23406448d424fe6091f6a05b8365b11a7296ae1e9e85cea46a2b7d7da72e9bcd,44c2aa94f1bf1502784aac39d01df8b543f9dbb41de523d8ba25febd169e822e,23c42e8ab76b5aa15c8302e6a4eb4cf348529cb938a391e4815d6cf85c53a341,2026-08-15T16:17:07.225614+00:00
7,507,2080,2080,2048,0,0,2080,2080,2080,2048,PASS,4831ec62a698ba82b3a755f75a3fcce40cf781ac44cb5c7b31011326efe80ace,f4b48d0a7b787e8668152fe9d25940bf564bffde878ab0fe3eccf155ff375008,5f1771406e1b37372533f3001750d70e1052927911526e905c5f4ea86ef180db,2026-08-15T16:19:01.768358+00:00
8,559,2080,2080,2048,0,0,2080,2080,2080,2048,PASS,ebf6256e11eaf9c27afd8b3032fc0cdbe6fab0ee14ce1fd438f76bc7617e7a65,a0eb0cefe9e6ff10d756c42989ff9d6ce37b7bf193c3e72bae09bef51e68493d,2083c97519fd81b50f9445f37074e876dbf8188c09e93d75250020acedd1eab5,2026-08-15T16:20:55.263088+00:00
9,561,2080,2080,2048,0,0,2080,2080,2080,2048,PASS,9e10b32014290a2559b9d05c10a49f134802e87a35a7e8c945d8ee6c8be0f808,c84e7bb8ef5c5129827fdb37e71871d658b1f51a00f8c7aaa70d911112669aff,9018abb5b1799e5cf0b9c31463ac03ea1192323c6e9709655c3e9403bb3e3d85,2026-08-15T16:22:39.646871+00:00
10,586,2080,2080,2048,0,0,2080,2080,2080,2048,PASS,cdeeca40f8fc7088963f46cd50d53badda3afaf8f108fec6e5eccc9915d3cc2e,3fbfb9979ffa21e2771e673e3ecfada31619154fef2cee5220527bf1fa1080e7,a2590c6d96390ce4d4c05bb3c98181e42549a389b9887e377cb3e834ff5adee4,2026-08-15T16:24:28.164606+00:00
