gate,arm,metric,mean,sample_sd,q1,median,q3,native_q1,native_median,native_q3,signed_median_difference,standardized_wasserstein,median_inside_native_iqr,iqr_overlap,pass
absolute,high,absolute_weber_contrast,0.6668972451304448,0.6322114653542836,0.20000004863739007,0.4270833019322409,0.9255952394307678,0.1120218516406171,0.5555555855786356,1.454545595232121,-0.12847228364639468,0.3864619718043419,True,True,True
absolute,high,local_cnr,2.2309678624743707,2.0155976950868997,0.6744907594765952,1.5457079505994544,3.372454156192828,0.4245677555438452,1.0117361802217282,4.215567041694588,0.5339717703777263,0.25483209043252614,True,True,True
absolute,high,tenengrad_ratio,1.7233931309679558,0.8037623064359003,1.0601108556361547,1.6429681690927023,2.2357724621594284,1.6385055780410767,2.249064564704895,2.7893378734588623,-0.6060963956121928,0.5229159353550353,True,True,False
absolute,high,laplacian_variance_ratio,2.2220881669720014,1.9654783374703124,0.7380584627389908,1.8866497874259949,3.135764718055725,1.862029492855072,3.0796167850494385,5.221722602844238,-1.1929669976234436,0.4215573431749177,True,True,True
absolute,high,lab_delta_e76,9.211527965068818,8.474562357692346,3.0,6.4031243324279785,11.476962804794312,3.7416574954986572,11.651160717010498,27.0,-5.2480363845825195,0.486380383927884,True,True,True
absolute,low,absolute_weber_contrast,0.6415435405974652,0.6503653179356944,0.11111110360534109,0.40370371026708324,0.9000000668764113,0.1120218516406171,0.5555555855786356,1.454545595232121,-0.15185187531155236,0.3824895591364185,True,True,True
absolute,low,local_cnr,2.1291792438822488,2.053154067523961,0.44966021015727753,1.3489819290215925,3.2150723568167696,0.4245677555438452,1.0117361802217282,4.215567041694588,0.33724574879986435,0.24702001981042584,True,True,True
absolute,low,tenengrad_ratio,1.6538706255930051,0.8549490908642491,0.859438317670135,1.6502388666385581,2.27681168246632,1.6385055780410767,2.249064564704895,2.7893378734588623,-0.5988256980663369,0.558463375227669,True,True,False
absolute,low,laplacian_variance_ratio,2.0874648123979567,1.9683387866725632,0.5561626851558685,1.8953002095222473,2.75383722782135,1.862029492855072,3.0796167850494385,5.221722602844238,-1.1843165755271912,0.43640262372956906,True,True,True
absolute,low,lab_delta_e76,9.304671167532604,8.796721480804377,3.1622776985168457,6.5262463092803955,12.512457370758057,3.7416574954986572,11.651160717010498,27.0,-5.1249144077301025,0.48203012259412026,True,True,True
pairwise,high_low,absolute_weber_contrast,,,,,,,,,,,,,True
pairwise,high_low,local_cnr,,,,,,,,,,,,,True
pairwise,high_low,tenengrad_ratio,,,,,,,,,,,,,True
pairwise,high_low,laplacian_variance_ratio,,,,,,,,,,,,,True
pairwise,high_low,lab_delta_e76,,,,,,,,,,,,,True
