cohort,subset,arm,family,n,mean,median,sample_sd,q05,q25,q50,q75,q95,minimum,maximum,native_standardized_median_location
generic_medium,retained_pool,Pool,baseline,3840,2.2541503740762403,2.0851777208374944,0.8721558988668378,1.1475807978933399,1.579641120373609,2.0851777208374944,2.7347372859740693,3.9144982459204427,0.825342756114751,5.441005658685112,-0.08379671729136484
generic_medium,retained_pool,Pool,fine_detail,7680,2.42293100418179,2.248853036705528,0.9174740566989837,1.2375010001504234,1.7123569489303434,2.248853036705528,2.9281555338869736,4.213014740779793,0.9080869382508269,5.884830793015002,-0.00010815603952024656
generic_medium,retained_pool,Pool,material_chroma,7680,2.255778357179279,2.0864820721193746,0.8738556753544391,1.1401033002177414,1.5823709711635547,2.0864820721193746,2.7365612707105496,3.912376351663109,0.8245536845733519,5.463359590124404,-0.08312979154530081
generic_medium,retained_pool,Pool,spatial_frequency,19200,2.297379373142943,2.131425132917625,0.8698133027728638,1.196169855166298,1.6226072548659625,2.131425132917625,2.7597837467705864,3.973884537116994,0.8309037379966309,5.530321830984772,-0.06015002775799697
generic_medium,retained_pool,Pool,texture_realization,23040,2.1978424020571494,2.0054122651100172,0.8924789885800117,1.0788945348929981,1.5088303621393777,2.0054122651100172,2.6813891320474337,3.9648955971775552,0.7422920482845109,5.954570312269255,-0.12458146355580763
generic_medium,selected,High,fine_detail,3,2.169930019689007,2.035580596865469,0.3370061172032526,1.9322963921235237,1.9782004831199438,2.035580596865469,2.294484844846301,2.5016082432309665,1.9208203693744186,2.553389092827133,-0.10915614259893397
generic_medium,selected,High,material_chroma,1,1.4280208715864746,1.4280208715864746,,1.4280208715864746,1.4280208715864746,1.4280208715864746,1.4280208715864746,1.4280208715864746,1.4280208715864746,1.4280208715864746,-0.41980652389503875
generic_medium,selected,High,spatial_frequency,3,1.796961186654953,1.9319821253368532,0.2386046042168422,1.5625143149770637,1.7267222306925256,1.9319821253368532,1.9347106119583306,1.9368934012555128,1.5214623360481982,1.9374390985798082,-0.1621269096577274
generic_medium,selected,High,texture_realization,23,2.425528011340448,2.1582640935785546,0.8241887841009613,1.2664146895889192,1.9789348509884008,2.1582640935785546,2.8399206007786004,4.008612673136154,1.2001739917389969,4.11456512142181,-0.046427042155091344
generic_medium,selected,Low,fine_detail,3,1.7134800895528972,1.6506166216968248,0.11921622669856909,1.6400286282438243,1.6447344031118245,1.6506166216968248,1.7507940420659338,1.8309359783612211,1.6388521845268242,1.8509714624350428,-0.30599145062809535
